gender,count
"Comedy,Documentary,Family",45
"Action,Romance,Thriller",44
"Animation,Sport",44
"Comedy,Family,Musical",44
"Mystery,Sci-Fi",44
"News,Short",44
"Documentary,Drama,War",43
"Documentary,Fantasy",43
"Drama,Reality-TV",43
"Fantasy,Horror,Sci-Fi",43
"News,Sport,Talk-Show",43
"Adventure,Drama,Horror",42
"Action,Comedy,Family",41
"Comedy,Drama,Short",41
"Comedy,Horror,Romance",41
"Comedy,Romance,Sci-Fi",41
"Family,Romance",41
"Crime,Documentary,Mystery",40
"Drama,Family,Music",40
"Family,Short",40
"Musical,Romance",40
"Animation,Comedy,Horror",39
"Crime,Reality-TV",39
"Drama,Music,Musical",39
"Adult,Romance",38
"Adventure,Thriller",38
"Documentary,Drama,Reality-TV",38
"Comedy,Family,Music",37
"Animation,Drama,Romance",36
"Biography,Drama,War",36
"Comedy,Documentary,Music",36
"Documentary,Romance",36
"Drama,Family,Mystery",36
"Drama,Fantasy,History",36
"Action,Adventure,Biography",35
"Action,Adventure,History",35
"Comedy,Romance,Thriller",35
"Crime,Horror",35
"Fantasy,Mystery",35
"Horror,Romance",35
"Action,Crime,Horror",34
"Action,Sport",34
"Game-Show,Talk-Show",34
"News,Reality-TV,Talk-Show",34
"Reality-TV,Short",34
"Adventure,Fantasy,Horror",33
"Adventure,Game-Show,Reality-TV",33
"Adventure,Horror,Thriller",33
"Animation,Drama,Family",33
"Animation,Drama,Music",33
"Biography,Comedy",33
"Biography,Drama,Family",33
"Comedy,Crime,Horror",33
"Comedy,Crime,Romance",33
"Comedy,Fantasy,Sci-Fi",33
"Drama,Family,History",33
"Drama,Family,Musical",33
"Drama,Family,Thriller",33
"Action,Adventure,Mystery",32
"Action,Documentary",32
"Animation,Horror",32
"Documentary,Music,Musical",32
"Drama,Thriller,War",32
"Fantasy,Mystery,Thriller",32
"Action,Biography,Crime",31
"Crime,Romance,Thriller",31
"Documentary,Western",31
"Mystery,Romance,Thriller",31
"Action,History",30
"Animation,Music",30
"Comedy,Mystery,Romance",30
"Animation,Comedy,Crime",29
"Comedy,Game-Show,Reality-TV",29
"Comedy,Horror,Musical",29
"Comedy,Reality-TV,Talk-Show",29
"Drama,Fantasy,Music",29
"Family,Talk-Show",29
"History,War",29
"Mystery,Romance",29
"Action,Crime,Romance",28
"Action,War",28
"Animation,Drama,Mystery",28
"Adult,Comedy",27
"Adventure,Family,Sci-Fi",27
"Adventure,Horror",27
"Animation,Drama,Horror",27
"Crime,Drama,Sci-Fi",27
"Documentary,Drama,Romance",27
"Documentary,History,Mystery",27
"Game-Show,Reality-TV,Romance",27
"Action,Documentary,Sport",26
"Adventure,Documentary,Music",26
"Animation,Comedy,Music",26
"Animation,Drama,Sport",26
"Animation,Family,Musical",26
"Comedy,Game-Show,Talk-Show",26
"Crime,Drama,Music",26
"Music,Romance",26
"Action,Documentary,Drama",25
"Adventure,Documentary,Reality-TV",25
"Documentary,Family,Sport",25
"Fantasy,Mystery,Sci-Fi",25
"Music,Short",25
"Adventure,Comedy,Game-Show",24
"Adventure,Horror,Mystery",24
"Biography,Comedy,Crime",24
"Documentary,Family,Music",24
"Documentary,Thriller",24
"Family,Musical",24
"Family,Sport",24
"News,Sport",24
"Action,Comedy,Mystery",23
"Action,Drama,Western",23
"Action,History,War",23
"Adventure,Animation,Sci-Fi",23
"Adventure,Fantasy,Mystery",23
"Adventure,Fantasy,Sci-Fi",23
"Animation,Crime,Drama",23
"Animation,Documentary,Family",23
"Animation,Drama,Sci-Fi",23
"Biography,Sport",23
"Comedy,Fantasy,Mystery",23
"Documentary,Short,Sport",23
"News,Reality-TV",23
"Action,Western",22
"Adventure,Mystery",22
"Animation,Musical",22
"Biography,Documentary,War",22
"Comedy,Crime,Fantasy",22
"Comedy,Drama,Reality-TV",22
"Comedy,Drama,War",22
"Comedy,Sport,Talk-Show",22
"Crime,Romance",22
"Family,Music",22
"Horror,Short",22
"Action,Biography,Documentary",21
"Action,Fantasy,Thriller",21
"Action,Mystery,Sci-Fi",21
"Adventure,Comedy,Mystery",21
"Adventure,Comedy,Reality-TV",21
"Animation,Comedy,Musical",21
"Biography,Music",21
"Comedy,Game-Show,Music",21
"Comedy,Mystery,Sci-Fi",21
"Comedy,Reality-TV,Short",21
"Comedy,Sci-Fi,Thriller",21
"Comedy,Short,Talk-Show",21
"Musical,Reality-TV",21
"Short,Sport",21
"Animation,Biography,Comedy",20
"Documentary,Drama,Mystery",20
"Game-Show,Sport",20
"Horror,Romance,Thriller",20
"Action,Crime,Sci-Fi",19
"Action,Thriller,War",19
"Adventure,Biography,Comedy",19
"Adventure,Romance",19
"Biography,Drama,Thriller",19
"Comedy,Horror,Music",19
"Crime,Drama,Sport",19
"Documentary,History,Horror",19
"Drama,Thriller,Western",19
"Family,Sci-Fi",19
"Action,Fantasy,Romance",18
"Adventure,History",18
"Animation,Family,Music",18
"Animation,Fantasy,Horror",18
"Comedy,Fantasy,Music",18
"Comedy,Fantasy,Musical",18
"Crime,Mystery,Romance",18
"Documentary,News,Talk-Show",18
"History,Talk-Show",18
"Romance,Sci-Fi",18
"Action,Adventure,Romance",17
"Action,Comedy,Documentary",17
"Adult,Drama",17
"Animation,Comedy,Documentary",17
"Comedy,Documentary,Musical",17
"Comedy,Documentary,Reality-TV",17
"Comedy,History,Romance",17
"Comedy,Romance,Sport",17
"Crime,Documentary,News",17
"Drama,Fantasy,Musical",17
"Drama,Reality-TV,Romance",17
"Family,Fantasy,Musical",17
"Music,Musical",17
"Action,Documentary,History",16
"Action,Mystery",16
"Action,Short",16
"Adventure,Documentary,News",16
"Adventure,Sci-Fi,Thriller",16
"Animation,Comedy,Mystery",16
"Animation,Fantasy,Romance",16
"Comedy,Documentary,Horror",16
"Comedy,Music,Musical",16
"Comedy,Western",16
"Documentary,Fantasy,History",16
"Documentary,News,Reality-TV",16
"Fantasy,Horror,Romance",16
"Fantasy,Sci-Fi,Thriller",16
"History,Mystery",16
"History,Romance",16
"Action,Family",15
"Adult,Drama,Romance",15
"Adventure,Comedy,Musical",15
"Animation,Documentary,Drama",15
"Animation,Family,Short",15
"Biography,Documentary,Musical",15
"Biography,Drama,Mystery",15
"Comedy,Short,Sport",15
"Crime,Fantasy,Mystery",15
"Documentary,Horror,Mystery",15
"Drama,History,Sport",15
"Drama,History,Western",15
"Drama,Music,Mystery",15
"Family,Game-Show,Reality-TV",15
"Family,Mystery",15
"Fantasy,History,Romance",15
"Fantasy,Mystery,Romance",15
"Action,Biography,History",14
"Action,Crime,Documentary",14
"Action,Drama,Musical",14
"Action,Game-Show,Sport",14
"Adventure,Family,Mystery",14
"Adventure,Fantasy,History",14
"Adventure,Fantasy,Romance",14
"Adventure,Horror,Sci-Fi",14
"Adventure,Sport",14
"Animation,Drama,History",14
"Animation,Horror,Mystery",14
"Biography,Documentary,Romance",14
"Comedy,Crime,Family",14
"Comedy,Documentary,News",14
"Comedy,Family,Sci-Fi",14
"Crime,Documentary,Thriller",14
"Crime,History",14
"Crime,Mystery,Sci-Fi",14
"Documentary,Family,Reality-TV",14
"Documentary,History,Short",14
"Drama,Family,Sci-Fi",14
"Family,Game-Show,Music",14
"Family,Music,Reality-TV",14
"Horror,Reality-TV",14
"Action,Crime,Fantasy",13
"Adventure,Documentary,Mystery",13
"Adventure,Drama,Music",13
"Adventure,Mystery,Thriller",13
"Animation,Comedy,Sport",13
"Biography,Documentary,Fantasy",13
"Biography,Drama,Fantasy",13
"Biography,Drama,Musical",13
"Biography,Talk-Show",13
"Comedy,Family,Game-Show",13
"Comedy,Family,Reality-TV",13
"Comedy,Family,Talk-Show",13
"Crime,Drama,Western",13
"Crime,Fantasy,Horror",13
"Drama,Reality-TV,Talk-Show",13
"Drama,Romance,Short",13
"Horror,Mystery,Romance",13
"Horror,Western",13
"Action,Animation,Horror",12
"Action,Comedy,History",12
"Action,Drama,Music",12
"Action,History,Romance",12
"Action,Reality-TV",12
"Animation,History",12
"Comedy,Family,Sport",12
"Comedy,Fantasy,History",12
"Comedy,Romance,Short",12
"Crime,Sci-Fi,Thriller",12
"Documentary,Drama,Thriller",12
"Documentary,Family,News",12
"Documentary,Reality-TV,Sport",12
"History,Horror",12
"Sci-Fi,Short",12
"Action,Fantasy,Mystery",11
"Adult,Short",11
"Adventure,Crime,Mystery",11
"Adventure,Drama,War",11
"Adventure,Mystery,Sci-Fi",11
"Animation,Fantasy,Sci-Fi",11
"Animation,Mystery",11
"Comedy,Documentary,Sport",11
"Comedy,Family,Short",11
"Comedy,War",11
"Drama,Family,War",11
"Game-Show,Reality-TV,Sport",11
"Horror,Music",11
"Horror,Talk-Show",11
"Action,Adventure,War",10
"Action,Animation,Mystery",10
"Animation,Biography,Drama",10
"Animation,Comedy,Game-Show",10
"Animation,Comedy,Talk-Show",10
"Biography,Documentary,Reality-TV",10
"Biography,History,War",10
"Comedy,Family,History",10
"Comedy,Family,Mystery",10
"Comedy,Horror,Talk-Show",10
"Crime,Documentary,Family",10
"Crime,Sci-Fi",10
"Crime,Talk-Show",10
"Documentary,History,Musical",10
"Documentary,History,Reality-TV",10
"Documentary,History,Sci-Fi",10
"Drama,History,Sci-Fi",10
"Drama,Horror,Music",10
"Drama,Musical,Thriller",10
"Drama,Reality-TV,Sport",10
"Family,History",10
"Fantasy,Music,Romance",10
"History,Short",10
"Music,News,Talk-Show",10
"Reality-TV,Short,Talk-Show",10
"Romance,Short",10
"Action,Animation,Family",9
"Action,Biography",9
"Action,Biography,Comedy",9
"Action,Comedy,Music",9
"Action,Crime,History",9
"Action,Fantasy,History",9
"Adventure,Animation,Documentary",9
"Adventure,Animation,History",9
"Adventure,Animation,Short",9
"Adventure,Documentary,Horror",9
"Adventure,Family,Music",9
"Animation,Crime,Mystery",9
"Animation,Fantasy,Music",9
"Animation,Fantasy,Mystery",9
"Biography,Documentary,Talk-Show",9
"Comedy,Documentary,Fantasy",9
"Comedy,Documentary,Talk-Show",9
"Comedy,Fantasy,Thriller",9
"Comedy,Sci-Fi,Short",9
"Comedy,Sci-Fi,Talk-Show",9
"Crime,Drama,Musical",9
"Crime,Drama,War",9
"Crime,Horror,Romance",9
"Documentary,Drama,Fantasy",9
"Documentary,Family,Game-Show",9
"Documentary,Music,News",9
"Documentary,Music,War",9
"Documentary,Short,Talk-Show",9
"Drama,History,Horror",9
"Drama,History,Music",9
"Drama,History,Musical",9
"Drama,Music,Thriller",9
"Family,News",9
"Fantasy,Music",9
"Horror,Musical",9
"Sci-Fi,Talk-Show",9
"Action,Animation,Sport",8
"Action,Comedy,Short",8
"Action,Comedy,Sport",8
"Action,Romance,Sci-Fi",8
"Adventure,Animation,Biography",8
"Adventure,Comedy,Western",8
"Adventure,Documentary,Romance",8
"Animation,Family,History",8
"Animation,Family,Sci-Fi",8
"Animation,Romance",8
"Biography,Documentary,Mystery",8
"Comedy,Crime,Documentary",8
"Comedy,Documentary,Romance",8
"Comedy,Music,Reality-TV",8
"Crime,History,Mystery",8
"Documentary,Drama,Musical",8
"Documentary,Family,Short",8
"Documentary,History,Western",8
"Documentary,Horror,Thriller",8
"Documentary,Music,Sport",8
"Documentary,News,War",8
"Documentary,Reality-TV,Talk-Show",8
"Drama,Horror,Short",8
"Drama,Music,Sci-Fi",8
"Family,News,Talk-Show",8
"Family,Thriller",8
"Fantasy,Short",8
"History,Reality-TV",8
"History,Thriller",8
"Mystery,Reality-TV",8
"Thriller,Western",8
"Action,Adventure,Game-Show",7
"Action,Adventure,Western",7
"Action,Comedy,Reality-TV",7
"Action,Comedy,Western",7
"Action,Game-Show,Reality-TV",7
"Action,History,Thriller",7
"Adult,Animation,Comedy",7
"Adult,Animation,Romance",7
"Adult,Horror",7
"Adventure,Animation,Horror",7
"Adventure,Comedy,Thriller",7
"Adventure,Crime,Family",7
"Adventure,Drama,Musical",7
"Adventure,Short",7
"Animation,Comedy,History",7
"Animation,Documentary,Fantasy",7
"Animation,Mystery,Sci-Fi",7
"Biography,Documentary,Horror",7
"Biography,Documentary,Short",7
"Biography,Family",7
"Biography,Musical",7
"Comedy,Documentary,Short",7
"Comedy,Drama,Western",7
"Comedy,Game-Show,News",7
"Comedy,Horror,Short",7
"Comedy,Music,Short",7
"Comedy,News,Sport",7
"Crime,Documentary,Horror",7
"Crime,Documentary,War",7
"Crime,Drama,Reality-TV",7
"Crime,Family",7
"Crime,Thriller,Western",7
"Documentary,Fantasy,Mystery",7
"Documentary,Game-Show",7
"Documentary,Game-Show,Reality-TV",7
"Documentary,History,Talk-Show",7
"Documentary,History,Thriller",7
"Documentary,Music,Reality-TV",7
"Documentary,Mystery,Sci-Fi",7
"Documentary,News,Short",7
"Documentary,Reality-TV,Short",7
"Drama,Family,Horror",7
"Drama,Fantasy,War",7
"Drama,Horror,Musical",7
"Drama,Horror,Western",7
"Drama,News,Reality-TV",7
"Family,Fantasy,Horror",7
"Fantasy,Musical",7
"Fantasy,Romance,Thriller",7
"History,Horror,Mystery",7
"History,Sport",7
"Short,Thriller",7
"Thriller,War",7
"Action,Animation,Thriller",6
"Action,Comedy,Musical",6
"Action,Drama,Short",6
"Adult,Reality-TV",6
"Adventure,Crime,Horror",6
"Adventure,Documentary,War",6
"Adventure,Musical",6
"Animation,Drama,Thriller",6
"Animation,Family,Mystery",6
"Animation,Game-Show",6
"Animation,Horror,Short",6
"Animation,Horror,Thriller",6
"Animation,Talk-Show",6
"Biography,Comedy,Music",6
"Biography,Documentary,Thriller",6
"Biography,Drama,Horror",6
"Comedy,Crime,Musical",6
"Comedy,Documentary,Game-Show",6
"Comedy,Drama,Talk-Show",6
"Comedy,Family,Horror",6
"Comedy,History,Mystery",6
"Comedy,History,Talk-Show",6
"Comedy,News,Short",6
"Crime,Documentary,Reality-TV",6
"Crime,History,Thriller",6
"Crime,Short",6
"Documentary,Drama,Horror",6
"Documentary,Family,Romance",6
"Documentary,Family,War",6
"Documentary,Fantasy,Horror",6
"Documentary,Horror,Reality-TV",6
"Documentary,Reality-TV,Romance",6
"Drama,Family,Reality-TV",6
"Drama,Mystery,Sport",6
"Drama,Sci-Fi,War",6
"Fantasy,Musical,Romance",6
"Game-Show,Reality-TV,Talk-Show",6
"History,Sci-Fi",6
"Horror,Music,Thriller",6
"Music,Sci-Fi",6
"Musical,Thriller",6
"Mystery,Romance,Sci-Fi",6
"Romance,Sport",6
"Romance,War",6
"Action,Animation,History",5
"Action,Documentary,Family",5
"Action,Family,Thriller",5
"Action,Horror,Romance",5
"Action,Mystery,Romance",5
"Action,Sci-Fi,War",5
"Action,Sci-Fi,Western",5
"Adventure,Animation,Crime",5
"Adventure,Comedy,Music",5
"Adventure,Crime",5
"Adventure,Crime,Thriller",5
"Adventure,Documentary,Fantasy",5
"Adventure,Documentary,Musical",5
"Adventure,Documentary,Western",5
"Adventure,Drama,Sport",5
"Adventure,Family,Reality-TV",5
"Adventure,Fantasy,Game-Show",5
"Adventure,History,Reality-TV",5
"Adventure,Music",5
"Animation,Biography,Family",5
"Animation,Documentary,Short",5
"Animation,Horror,Sci-Fi",5
"Animation,Mystery,Thriller",5
"Biography,Reality-TV",5
"Biography,Romance",5
"Biography,Short",5
"Comedy,Crime,History",5
"Comedy,Crime,Short",5
"Comedy,Documentary,Mystery",5
"Comedy,Documentary,Sci-Fi",5
"Comedy,Game-Show,Sport",5
"Comedy,Horror,Reality-TV",5
"Comedy,Music,News",5
"Comedy,Musical,Mystery",5
"Comedy,Musical,Sci-Fi",5
"Comedy,Musical,Short",5
"Comedy,News,Reality-TV",5
"Comedy,Reality-TV,Sport",5
"Crime,Documentary,Talk-Show",5
"Crime,Fantasy,Thriller",5
"Crime,Horror,Sci-Fi",5
"Crime,News",5
"Documentary,Family,Fantasy",5
"Documentary,Fantasy,Music",5
"Documentary,History,Romance",5
"Documentary,Mystery,Reality-TV",5
"Documentary,Sport,Talk-Show",5
"Drama,Game-Show,Reality-TV",5
"Drama,Musical,Mystery",5
"Drama,Mystery,Western",5
"Drama,Romance,Western",5
"Drama,Sport,Thriller",5
"Family,Music,Romance",5
"Family,Reality-TV,Talk-Show",5
"Fantasy,History",5
"Fantasy,History,Music",5
"Fantasy,History,Mystery",5
"Fantasy,Romance,Sci-Fi",5
"History,Mystery,Thriller",5
"Horror,Thriller,War",5
"Horror,Thriller,Western",5
"Music,Musical,Reality-TV",5
"Music,News,Sport",5
"Musical,Short",5
"Reality-TV,Sci-Fi",5
"Romance,Sci-Fi,Thriller",5
"Action,Adventure,Reality-TV",4
"Action,Adventure,Sport",4
"Action,Comedy,Game-Show",4
"Action,Comedy,War",4
"Action,Documentary,Horror",4
"Action,Family,Fantasy",4
"Action,Game-Show",4
"Action,Horror,Western",4
"Action,Musical,Romance",4
"Action,Thriller,Western",4
"Adult,Adventure,Animation",4
"Adult,Comedy,Drama",4
"Adult,Drama,Fantasy",4
"Adult,Fantasy",4
"Adventure,Animation,Musical",4
"Adventure,Biography,Crime",4
"Adventure,Biography,History",4
"Adventure,Comedy,History",4
"Adventure,Documentary,Short",4
"Adventure,Drama,Western",4
"Adventure,Family,Game-Show",4
"Adventure,Family,History",4
"Adventure,Family,Sport",4
"Adventure,Game-Show",4
"Adventure,History,Mystery",4
"Adventure,History,Sci-Fi",4
